,City,Cloudiness,Country,Humidity,Latitude,Temperature (F),WindSpeed
0,Muros,75,ES,93,42.77,62.6,1.12
1,Mar del Plata,0,AR,99,-46.43,31.71,2.82
2,Yulara,0,AU,52,-25.24,41.0,4.7
3,Te Anau,64,NZ,84,-45.41,37.56,5.73
4,Cape Town,0,ZA,71,-33.93,50.0,4.7
5,Kiama,0,AU,82,-34.67,46.4,17.22
6,Qaanaaq,92,GL,98,77.48,34.41,4.72
7,Hithadhoo,92,MV,100,-0.6,76.44,5.73
8,Rikitea,100,PF,100,-23.12,66.54,6.4
9,Mataura,56,NZ,98,-46.19,35.94,3.6
10,Clyde River,90,CA,93,70.47,35.6,9.17
11,Jos,12,NG,93,9.92,69.06,4.72
12,New Norfolk,20,AU,75,-42.78,42.8,8.05
13,Mehamn,0,NO,81,71.03,49.68,4.7
14,Albany,75,US,38,42.65,89.42,5.82
15,Smolenka,68,PL,95,54.15,63.66,8.3
16,Barrow,68,AR,61,-38.31,49.35,7.4
17,Alta Floresta,88,BR,42,-9.87,89.13,1.59
18,Kapaa,75,US,78,22.08,80.6,12.75
19,Shadrinsk,0,RU,84,56.09,56.28,3.83
20,Muhos,0,FI,60,64.81,69.8,6.93
21,Provideniya,90,RU,100,64.42,44.6,6.71
22,Isla Mujeres,20,MX,66,21.23,87.8,10.29
23,Faanui,92,PF,100,-16.48,77.7,13.89
24,Ust-Uda,80,RU,84,54.17,62.31,2.59
25,Kruisfontein,0,ZA,100,-34.0,53.04,10.42
26,Bredasdorp,0,ZA,76,-34.53,53.6,6.93
27,Tuatapere,56,NZ,100,-46.13,48.0,10.87
28,Diego de Almagro,0,CL,71,-26.39,69.33,2.59
29,Hermanus,0,ZA,69,-34.42,45.03,6.85
30,Kailua,90,US,78,21.39,84.22,10.29
31,Bathsheba,75,BB,78,13.22,82.4,19.46
32,Hilo,90,US,78,19.71,76.46,6.93
33,Iqaluit,90,CA,100,63.75,41.0,17.22
34,Ushuaia,20,AR,69,-54.81,35.6,17.22
35,Hasaki,32,JP,100,35.73,77.07,2.24
36,Lavrentiya,92,RU,97,65.58,42.33,0.13
37,La Ronge,90,CA,87,55.1,53.6,18.34
38,Asaka,1,JP,78,35.82,79.23,4.7
39,Dikson,0,RU,100,73.51,40.26,10.54
40,Hobart,20,AU,75,-42.88,42.8,8.05
41,Broken Hill,24,AU,57,-31.97,43.95,14.23
42,Punta Arenas,0,CL,80,-53.16,35.6,12.75
43,Hazro,75,TR,51,38.25,79.65,4.7
44,Port Keats,0,AU,68,-14.25,63.21,10.54
45,Severo-Kurilsk,80,RU,92,50.68,50.88,6.29
46,Morristown,40,US,78,36.21,80.6,3.71
47,Saskylakh,32,RU,63,71.97,45.48,9.98
48,Muisne,88,EC,75,0.61,78.6,9.19
49,Hervey Bay,80,AU,100,-25.3,60.06,6.62
50,Pacific Grove,1,US,57,36.62,67.01,14.99
51,Doka,48,SD,86,13.52,72.03,10.2
52,Port Hardy,40,CA,82,50.7,59.0,5.82
53,Yakeshi,100,CN,88,49.28,62.85,3.6
54,Dubbo,32,AU,85,-32.25,23.0,5.82
55,Kuli,0,UA,82,49.94,64.4,4.47
56,Haines Junction,92,CA,77,60.75,45.48,2.82
57,Talnakh,0,RU,67,69.49,53.85,6.73
58,Upernavik,80,GL,98,72.79,37.47,11.99
59,Kungurtug,92,RU,100,50.6,51.24,2.59
60,Husavik,0,CA,56,50.56,74.46,23.06
61,Mahina,8,ML,72,13.76,83.1,10.2
62,Otane,0,NZ,86,-39.89,49.26,9.98
63,Mogwase,88,ZA,94,-25.28,49.08,4.72
64,Ilulissat,75,GL,75,69.22,46.4,5.82
65,Busselton,80,AU,100,-33.64,62.4,28.99
66,Torbay,90,CA,100,47.66,68.0,10.29
67,Khatanga,12,RU,65,71.98,50.16,13.0
68,Saint George,20,GR,53,39.45,73.4,1.25
69,Hirara,92,JP,98,24.8,82.2,21.27
70,Port Alfred,12,ZA,100,-33.59,55.2,8.41
71,Pirai do Sul,0,BR,54,-24.53,67.8,5.73
72,Geraldton,75,CA,65,49.72,77.0,13.87
73,Yellowknife,40,CA,81,62.45,53.6,8.05
74,Shelburne,1,CA,35,44.08,87.08,5.82
75,Sompeta,92,IN,97,18.93,75.09,6.17
76,Sechura,0,PE,79,-5.56,72.3,11.77
77,Hami,100,CN,42,42.84,77.07,2.15
78,Izumo,20,JP,83,35.37,77.0,4.7
79,Kodiak,1,US,52,39.95,89.6,5.39
80,Vila Franca do Campo,20,PT,88,37.72,68.0,10.29
81,Nabire,64,ID,96,-3.36,67.35,2.04
82,Daan,88,YE,46,17.0,80.49,1.92
83,Qinzhou,92,CN,99,21.96,75.36,7.63
84,Kaka,0,TM,38,37.35,72.66,5.28
85,Omsukchan,0,RU,74,62.53,56.37,3.6
86,Crowley,40,US,62,30.21,90.46,6.93
87,Lebu,68,ET,98,8.96,51.78,2.71
88,Manono,0,CD,35,-7.3,74.55,10.2
89,Jamestown,68,AU,94,-33.21,44.76,13.56
90,Broome,0,GB,56,52.47,72.52,8.05
91,Victoria,75,BN,94,5.28,77.76,1.12
92,San Rafael del Sur,75,NI,74,11.85,84.2,11.41
93,Aksu,0,KZ,77,52.04,66.2,8.95
94,Goundam,32,ML,61,16.42,84.81,13.78
95,Honiara,20,SB,100,-9.43,71.6,3.36
96,San Patricio,56,PY,49,-26.98,81.66,6.96
97,Fornosovo,0,RU,64,59.57,68.0,2.37
98,Iisalmi,0,FI,64,63.56,69.8,1.12
99,San Quintin,92,PH,94,17.54,72.3,2.26
100,Ngunguru,8,NZ,100,-35.62,58.53,18.81
101,Bethel,90,US,66,60.79,55.4,11.41
102,Hrodna,44,BY,97,53.68,63.03,9.19
103,Lompoc,90,US,77,34.64,71.08,11.41
104,Namibe,0,AO,100,-15.19,66.9,9.98
105,Turukhansk,0,RU,80,65.8,51.96,1.92
106,Norman Wells,75,CA,72,65.28,60.8,5.82
107,Port Elizabeth,1,US,61,39.31,81.09,5.82
108,Davila,100,PH,100,18.47,78.33,4.83
109,Singkang,75,MY,94,2.1,77.0,3.04
110,Pevek,88,RU,100,69.7,35.31,8.41
111,Myingyan,76,MM,90,21.46,76.62,11.32
112,Fairbanks,20,US,67,64.84,60.76,6.4
113,Tuktoyaktuk,40,CA,55,69.44,66.2,12.75
114,Hay River,75,CA,59,60.82,64.4,5.82
115,Kindu,68,CD,42,-2.95,81.57,2.71
116,Saint Anthony,1,US,28,43.97,84.85,9.17
117,Vaini,92,IN,97,15.34,70.41,10.76
118,Porto Murtinho,0,BR,47,-21.7,84.27,16.91
119,Udimskiy,0,RU,92,61.14,62.49,1.36
120,Sao Joao da Barra,0,BR,69,-21.64,77.0,18.34
121,Touros,20,BR,78,-5.2,78.96,17.25
122,Maragogi,8,BR,83,-9.01,73.83,7.96
123,Mingaora,92,PK,99,34.78,67.26,1.7
124,Butaritari,80,KI,100,3.07,79.14,5.28
125,Teguldet,0,RU,67,57.31,55.65,5.28
126,Kavieng,80,PG,100,-2.57,80.13,8.63
127,Sao Domingos,8,BR,34,-13.4,80.13,7.52
128,Berdigestyakh,92,RU,59,62.1,58.35,5.61
129,Santo Tomas,88,PH,100,15.88,72.93,3.38
130,Zarubino,56,RU,81,42.65,72.21,5.61
131,Okha,88,RU,83,53.59,54.48,14.0
132,Mecca,0,SA,24,21.43,95.0,2.59
133,Ancud,36,CL,95,-41.87,46.38,2.71
134,Westport,75,IE,93,53.8,55.4,5.82
135,Kwinana,90,AU,93,-32.25,57.81,6.93
136,Arraial do Cabo,0,BR,65,-22.97,77.83,9.17
137,Yeppoon,0,AU,93,-23.13,42.8,4.16
138,Lagoa,0,PT,82,37.14,68.0,13.87
139,Koundara,64,GN,80,12.49,82.83,9.64
140,East London,24,ZA,100,-33.02,59.07,6.85
141,Ambulu,32,ID,100,-8.35,69.42,4.16
142,Zaranj,0,AF,19,30.95,93.09,16.02
143,Tiksi,8,RU,75,71.64,41.79,2.15
144,Farsund,8,NO,100,58.09,57.9,3.38
145,Samarai,92,PG,100,-10.62,76.89,9.86
146,Tabas,68,IR,19,33.6,85.35,6.62
147,Axim,92,GH,98,4.87,77.43,11.77
148,Filadelfia,8,PY,40,-22.35,89.22,18.48
149,Henties Bay,56,NA,100,-22.12,56.91,2.93
150,Takoradi,92,GH,100,4.89,75.9,8.86
151,Codrington,0,AU,81,-28.95,34.5,5.06
152,Bluff,0,AU,74,-23.58,36.21,2.71
153,Ponta do Sol,0,BR,57,-20.63,69.78,2.71
154,Aldan,12,RU,96,58.61,54.93,3.27
155,Tasiilaq,12,GL,37,65.61,53.6,19.46
156,Prudentopolis,0,BR,55,-25.21,70.68,4.61
157,Kenai,90,US,71,60.55,56.28,5.82
158,Bambous Virieux,20,MU,88,-20.34,66.2,6.93
159,Port Hueneme,40,US,69,34.15,77.94,10.29
160,Mpika,24,ZM,54,-11.84,59.61,11.99
161,Columbus,75,US,52,32.46,89.44,3.36
162,Saint-Pierre,0,FR,64,48.95,70.79,6.93
163,Atuona,0,PF,100,-9.8,79.23,19.04
164,Lichinga,64,MZ,81,-13.3,58.26,6.4
165,Yerazgavors,40,AM,72,40.7,57.18,2.24
166,Semnan,0,IR,25,35.58,75.09,5.84
167,Abnub,0,EG,33,27.27,86.0,9.17
168,Kalabo,68,ZM,32,-15.0,68.7,12.55
169,Peniche,20,PT,82,39.36,67.24,8.05
170,Pisco,90,PE,88,-13.71,62.6,4.7
171,Dwarka,75,IN,89,28.58,86.0,8.05
172,Nata,75,CY,88,34.78,80.6,5.82
173,Luorong,8,CN,90,24.41,73.92,3.38
174,Darnah,0,LY,95,32.77,78.6,15.23
175,Komsomolskiy,8,RU,52,67.55,67.8,10.98
176,Prince Rupert,90,CA,82,54.32,60.8,4.7
177,Avarua,88,CK,100,-21.21,73.83,21.05
178,Chuy,92,UY,82,-33.69,53.85,14.34
179,Qandala,24,SO,53,11.47,84.9,7.18
180,Chingirlau,68,KZ,41,51.09,81.3,10.54
181,Gualaquiza,0,EC,79,-3.4,69.51,2.93
182,Cabo San Lucas,20,MX,49,22.89,89.6,9.17
183,Beringovskiy,0,RU,85,63.05,56.64,14.0
184,Reno,75,US,24,39.53,89.82,6.93
185,Mount Isa,0,AU,40,-20.73,37.4,3.38
186,Beberibe,0,BR,69,-4.18,80.6,9.17
187,Kangaatsiaq,80,GL,80,68.31,49.62,5.39
188,Leningradskiy,88,RU,94,69.38,34.5,19.82
189,Ribeira Grande,20,PT,68,38.52,71.6,6.93
190,Castro,64,CL,81,-42.48,47.1,3.15
191,Hammelburg,20,DE,80,50.12,63.66,2.59
192,Pangody,56,RU,59,65.85,65.73,10.42
193,Belaya Gora,76,RU,74,68.54,54.03,4.16
194,Grindavik,90,IS,100,63.84,51.08,8.05
195,Khandyga,92,RU,92,62.65,61.95,7.18
196,Elk Plain,1,US,33,47.04,86.36,3.36
197,Aklavik,40,CA,38,68.22,73.4,5.82
198,Vestmanna,75,FO,100,62.16,51.8,12.75
199,Elbistan,0,TR,55,38.2,59.88,9.75
200,Puerto Ayora,75,EC,61,-0.74,78.8,16.11
201,Pitimbu,40,BR,69,-7.47,78.8,13.87
202,Erzincan,40,TR,93,39.75,59.0,1.92
203,Poum,40,MK,60,41.28,69.8,6.93
204,Kalmunai,48,LK,95,7.42,75.18,6.62
205,Chokurdakh,44,RU,87,70.62,51.51,8.63
206,Cidreira,36,BR,89,-30.17,64.83,5.17
207,Atikokan,32,CA,46,48.76,78.33,10.54
208,Novikovo,0,UA,94,45.05,67.35,7.4
209,Palmer,75,AU,87,-34.85,53.6,16.11
210,Inuvik,40,CA,38,68.36,73.4,5.82
211,Porto Novo,0,BR,38,-23.68,73.4,5.82
212,Dingle,92,PH,96,11.0,75.63,8.97
213,Yumen,0,CN,39,40.29,63.66,7.63
214,Guerrero Negro,12,MX,47,27.97,84.09,11.43
215,Mamallapuram,40,IN,58,12.63,86.0,9.17
216,Thompson,90,CA,87,55.74,55.4,2.24
217,Trincomalee,80,LK,77,8.58,79.59,18.7
218,Cumberland,20,US,74,41.97,81.93,3.36
219,Kaberamaido,8,UG,90,1.76,67.8,7.4
220,Rio Gallegos,0,AR,69,-51.62,35.6,5.82
221,Bulgan,92,MN,99,48.81,57.18,3.04
222,Ambon,0,FR,56,47.55,73.4,5.82
223,Loandjili,75,CG,88,-4.77,73.4,8.05
224,Puerto Madryn,68,AR,97,-42.77,44.4,9.08
225,Klyuchi,48,RU,73,52.25,68.61,11.32
226,Sobolevo,76,RU,92,54.43,64.92,5.73
227,Arcata,1,US,68,40.87,65.19,14.99
228,Mahebourg,20,MU,88,-20.41,66.2,6.93
229,Rodrigues Alves,40,BR,52,-7.74,89.6,8.05
230,Parana,40,BR,52,-7.52,89.6,8.05
231,Toamasina,20,MG,93,-18.17,62.6,2.71
232,Semey,32,KZ,70,50.41,71.4,8.75
233,Klaksvik,75,FO,100,62.23,51.8,12.75
234,Simao,92,CN,99,22.76,65.46,1.92
235,Bandarbeyla,0,SO,82,9.49,78.96,30.11
236,Kaitangata,76,NZ,83,-46.28,48.0,14.45
237,Tevriz,0,RU,70,57.51,58.08,5.61
238,Leh,20,IN,87,34.16,29.91,1.48
239,Souillac,0,FR,50,45.6,74.88,4.7
240,Isangel,32,VU,100,-19.55,73.2,17.02
241,Akdepe,0,TM,34,42.05,80.85,4.7
242,Hamilton,75,BM,65,32.3,78.8,12.75
243,Zaysan,20,KZ,86,47.47,55.2,2.37
244,Port Lincoln,20,AU,98,-34.72,54.48,17.36
245,Kutum,100,SD,35,14.2,82.56,3.6
246,Zwedru,88,LR,96,6.07,71.76,9.98
247,Moussoro,64,TD,58,13.64,85.53,7.52
248,Xining,0,CN,91,36.62,42.96,2.26
249,Fort Nelson,75,CA,45,58.81,68.0,5.82
250,Gayny,12,RU,71,60.3,66.18,6.06
251,Luena,0,AO,56,-11.78,54.93,3.71
252,Mutoko,0,ZW,70,-17.4,57.18,7.96
253,Jalalabad,20,AF,55,34.43,87.8,3.36
254,Narsaq,24,GL,41,60.91,60.8,6.93
255,Jumla,92,NP,95,29.28,39.81,2.59
256,Lumeje,0,AO,37,-11.56,59.61,8.75
257,Port Blair,92,IN,100,11.67,81.3,24.63
258,Marsh Harbour,24,BS,100,26.54,84.54,7.07
259,Lorengau,88,PG,100,-2.02,80.76,6.4
260,Severo-Yeniseyskiy,0,RU,78,60.37,49.98,2.93
261,Nikolskoye,0,RU,64,59.7,68.0,2.59
262,Gudalur,92,IN,100,11.5,68.07,0.69
263,Cherskiy,12,RU,62,68.75,47.01,2.82
264,Beloha,12,MG,85,-25.17,63.3,10.42
265,Jiuquan,0,CN,65,39.73,53.67,2.93
266,Jackville,40,CI,88,5.21,77.0,5.82
267,Saint-Philippe,1,CA,42,45.36,86.92,4.7
268,Cascais,20,PT,82,38.7,68.25,8.05
269,Zhezkazgan,0,KZ,58,47.8,69.87,10.87
270,Dichiseni,88,RO,81,44.23,67.71,2.71
271,Berlevag,75,NO,100,70.86,49.51,2.24
272,Carnarvon,0,ZA,64,-30.97,30.81,8.41
