,City,Cloudiness,Country,Humidity,Latitude,Temperature (F),WindSpeed
273,Gonen,0,IL,90,33.12,64.65,2.04
274,Sao Filipe,8,CV,92,14.9,78.51,6.62
275,Paez,75,CO,48,2.93,87.8,5.82
276,Esfarayen,12,IR,36,37.08,71.58,4.16
277,Petauke,8,ZM,56,-14.25,63.48,16.91
278,Auki,56,NG,90,12.18,74.01,4.94
279,Atar,0,MR,12,20.52,101.46,12.33
280,Bowen,0,AU,93,-20.01,44.6,4.7
281,Kulti,92,IN,93,23.73,78.96,9.64
282,Buraydah,0,SA,20,26.33,93.2,6.93
283,Georgetown,20,GY,74,6.8,84.2,11.41
284,Kununurra,0,AU,81,-15.77,51.8,6.73
285,Tunceli,0,TR,53,39.11,66.0,3.36
286,Shahr-e Kord,12,IR,39,32.33,57.45,2.82
287,Russell,0,AR,31,-33.01,60.8,10.29
288,Vestmannaeyjar,0,IS,88,63.44,53.13,7.74
289,San Cristobal,75,EC,47,-0.39,59.0,18.34
290,Santa Cruz del Norte,20,CU,59,23.15,87.76,12.75
291,Deputatskiy,88,RU,72,69.3,49.53,3.94
292,Chambery,68,FR,77,45.57,66.63,10.29
293,Alekseyevka,0,RU,68,53.25,71.6,8.95
294,Bellefontaine,1,US,58,40.36,86.2,4.7
295,Lima,0,PE,56,-12.06,68.34,3.15
296,Trairi,12,BR,99,-3.28,80.31,17.13
297,Ixtapa,75,MX,79,20.71,86.0,8.05
298,Kajaani,0,FI,82,64.22,62.6,4.94
299,Brufut,75,GM,83,13.38,82.4,5.82
300,Tarko-Sale,88,RU,83,64.92,57.54,3.38
301,Goderich,8,CA,89,43.74,79.23,3.94
302,Maningrida,0,AU,86,-12.05,71.04,12.21
303,Rio Grande,0,BR,77,-32.03,64.4,9.17
304,Chernyshevskiy,76,RU,68,63.01,58.08,5.5
305,Todos Santos,20,MX,49,23.45,92.77,9.17
306,Zaozerne,88,UA,100,51.37,62.4,10.09
307,Dillon,1,US,37,45.22,82.4,5.82
308,Caravelas,80,BR,100,-17.73,74.73,11.77
309,Basco,20,US,66,40.33,85.3,5.82
310,Salta,0,AR,35,-24.79,76.51,12.75
311,Sawakin,0,SD,63,19.1,84.9,3.71
312,Chabahar,0,IR,100,25.29,84.99,2.15
313,Vangaindrano,12,MG,92,-23.35,54.39,2.04
314,Chester,0,GB,72,53.19,68.02,5.82
315,Williamsburg,1,US,55,37.27,88.25,6.93
316,Sehithwa,48,BW,43,-20.47,62.22,14.45
317,Nantucket,75,US,94,41.28,74.53,5.82
318,Ormara,36,PK,94,25.21,82.83,13.44
319,Vardo,5,US,58,39.62,79.59,5.82
320,Ossora,0,RU,95,59.24,54.03,2.15
321,Gidam,92,IN,99,18.98,70.68,6.4
322,Padang,20,ID,100,-0.92,81.75,8.19
323,Malinyi,76,TZ,53,-8.94,73.56,4.61
324,Eyl,24,SO,68,7.98,82.29,23.85
325,Bannu,88,PK,97,32.99,80.58,1.7
326,Labuhan,20,ID,95,-2.54,70.05,2.37
327,Luderitz,44,NA,59,-26.65,66.99,17.47
328,Huarmey,0,PE,56,-10.07,70.41,4.05
329,Hualmay,0,PE,68,-11.1,68.43,5.61
330,Neftekumsk,100,RU,85,44.75,71.04,12.66
331,Esperance,20,TT,74,10.24,86.0,17.22
332,Sinnamary,48,GF,97,5.38,81.03,10.2
333,Sosua,40,DO,70,19.77,90.61,13.87
334,Hobyo,12,SO,74,5.35,76.71,22.5
335,Longyearbyen,75,NO,81,78.22,44.6,4.7
336,Pedro Juan Caballero,0,PY,37,-22.55,84.2,8.05
337,Collie,88,AU,91,-33.36,55.56,20.04
338,Fortuna Foothills,1,US,29,32.66,98.6,14.99
339,Omboue,80,GA,100,-1.57,74.55,14.23
340,Arlit,36,NE,22,18.74,85.71,2.37
341,Matara,0,PE,45,-13.74,54.12,2.37
342,Bubaque,20,GW,78,11.28,82.4,6.93
343,Bonthe,92,SL,100,7.53,74.55,4.94
344,Montrose,90,AU,70,-37.81,45.34,19.46
345,Alpena,1,US,58,45.06,83.62,9.17
346,Krasnyy Klyuch,44,RU,71,55.39,68.52,8.08
347,Juarez,0,AR,40,-38.95,57.2,5.82
348,Kautokeino,12,NO,81,69.01,56.46,4.72
349,Zhigansk,0,RU,55,66.77,54.57,11.54
350,Dunedin,80,NZ,93,-45.87,45.93,13.67
351,Harbour Breton,92,CA,91,47.48,57.09,6.73
352,Dhangadhi,0,NP,91,28.7,76.71,2.93
353,Margate,20,AU,75,-43.03,42.8,8.05
354,Katsuura,40,JP,94,33.93,78.8,4.7
355,Gunjur,75,GM,83,13.18,82.4,5.82
356,Iralaya,90,HN,74,15.0,84.2,9.17
357,Barmer,76,IN,86,25.74,79.05,5.73
358,Maniitsoq,48,GL,97,65.42,52.77,3.49
359,Plastun,88,RU,98,44.76,60.51,2.15
360,Moerai,24,PF,100,-22.43,71.31,17.13
361,Mount Gambier,92,AU,93,-37.83,49.44,7.96
362,Bumba,24,CD,92,2.18,73.2,3.04
363,Phan Thiet,80,VN,99,10.93,78.78,16.02
364,Baykit,0,RU,70,61.68,48.0,6.4
365,Santander,88,PH,98,9.42,81.75,15.23
366,Cap Malheureux,20,MU,88,-19.98,66.2,6.93
367,Katangli,92,RU,94,51.71,48.81,10.87
368,Karratha,0,AU,63,-20.74,47.37,4.83
369,Sorong,100,ID,100,-0.86,78.96,14.23
370,Pasni,92,PK,98,25.26,83.73,7.18
371,Jimeta,76,NG,97,9.28,70.95,3.71
372,Tual,80,ID,100,-5.67,76.98,10.65
373,North Bend,1,US,72,43.41,64.17,13.87
374,Florianopolis,0,BR,73,-27.6,71.6,5.82
375,Riohacha,75,CO,37,11.54,96.8,20.8
376,Qazvin,92,IR,21,36.28,80.31,5.28
377,Vilhena,0,BR,40,-12.74,87.8,8.05
378,Alto Araguaia,12,BR,28,-17.32,84.09,8.08
379,Chapais,90,CA,39,49.78,82.4,10.29
380,Torrington,90,US,100,42.06,65.32,4.7
381,Alofi,92,NU,88,-19.06,77.0,6.93
382,Jaciara,68,BR,31,-15.95,84.9,4.61
383,Sambava,24,MG,100,-14.27,72.48,19.04
384,Saint Andrews,80,NZ,100,-44.53,36.93,4.16
385,Sorland,75,NO,87,67.67,55.4,8.05
386,Krasnyy Chikoy,92,RU,96,50.36,57.36,1.92
387,Hovd,0,NO,68,63.83,64.27,6.93
388,Shelopugino,88,RU,91,51.65,57.09,2.37
389,Sur,12,OM,78,22.57,90.66,10.09
390,Lerwick,56,GB,77,60.15,59.9,8.05
391,Shenjiamen,48,CN,93,29.96,79.95,11.77
392,Ati,8,TD,56,13.21,81.75,4.61
393,Airai,32,TL,86,-8.93,60.42,1.7
394,Lere,56,TD,90,9.66,73.11,9.19
395,San Marcos,40,GT,55,14.97,91.4,6.93
396,Gold Coast,0,AU,66,-28.0,55.4,4.7
397,Boa Vista,40,BR,62,2.82,86.0,11.41
398,Vermilion,20,CA,43,53.35,69.8,16.11
399,Ambilobe,88,MG,86,-13.19,69.24,3.49
400,Vredendal,24,ZA,37,-31.68,52.5,8.41
401,Pailon,20,BO,45,-17.66,86.88,26.4
402,Itaituba,20,BR,66,-4.26,86.0,3.38
403,Burns Lake,12,CA,43,54.23,69.51,6.06
404,Khorixas,92,NA,24,-20.37,69.15,6.96
405,Whitehorse,90,CA,81,60.72,50.0,10.29
406,Tevaitoa,92,PF,100,-16.78,76.71,14.23
407,Riyadh,20,SA,14,24.63,96.8,6.93
408,Abdulino,44,RU,52,53.68,76.89,10.42
409,Chicama,90,PE,82,-7.84,66.2,9.17
410,Tiznit,0,MA,81,29.7,68.7,3.15
411,Cervo,0,BR,33,-22.19,77.0,4.7
412,San Jeronimo,0,PE,45,-13.65,54.12,2.37
413,Bacabal,68,BR,59,-4.23,85.08,5.39
414,Beisfjord,75,NO,93,68.38,55.4,10.29
415,Santa Rosa,20,AR,46,-36.62,52.95,3.27
416,Dongsheng,0,CN,78,29.72,79.86,4.16
417,Gemena,92,CD,95,3.25,71.13,2.04
418,Gat,92,SN,72,14.69,82.47,11.99
419,Mitsamiouli,20,KM,60,-11.38,75.2,3.36
420,Teya,40,MX,44,21.05,93.2,11.41
421,Serowe,20,BW,73,-22.4,53.31,19.37
422,Saldanha,68,PT,63,41.42,66.9,9.98
423,Namatanai,76,PG,100,-3.66,80.4,8.52
424,Iquique,0,CL,67,-20.22,62.6,8.05
425,Coihaique,75,CL,84,-45.58,34.3,5.82
426,Sarakhs,0,TM,22,36.54,86.61,8.63
427,Araouane,80,ML,19,18.9,100.2,8.08
428,Moratuwa,40,LK,88,6.77,78.8,8.05
429,Poronaysk,92,RU,100,49.22,50.79,11.54
430,Challapata,0,BO,59,-18.9,40.44,5.17
431,Brownsville,90,US,56,25.91,93.67,20.8
432,Saurimo,0,AO,67,-9.66,60.24,2.59
433,Tocopilla,12,CL,89,-22.09,63.84,2.71
434,Tabou,92,CI,100,4.42,75.81,14.0
435,Ilhabela,0,BR,88,-23.78,74.01,8.19
436,Penzance,20,GB,82,50.12,65.35,8.05
437,Fortuna,0,ES,61,38.18,77.77,14.99
438,Aqtobe,0,KZ,50,50.28,75.2,8.95
439,Salamiyah,0,SY,59,35.01,71.76,9.64
440,Banda Aceh,80,ID,80,5.56,79.86,6.62
441,Lewistown,75,US,66,40.39,84.16,7.96
442,Khrebtovaya,48,RU,73,56.71,57.54,4.72
443,Illapel,76,CL,98,-31.63,53.4,4.16
444,Wana,92,PK,95,32.31,67.71,1.92
445,Presidente Epitacio,0,BR,36,-21.76,84.9,9.19
446,Vigrestad,0,NO,93,58.57,59.0,1.92
447,Warmbad,32,DE,49,50.67,65.93,4.7
448,Noumea,90,NC,93,-22.28,60.8,2.24
449,Tenerife,12,CO,100,9.9,81.57,6.17
450,Lao Cai,92,VN,99,22.48,66.99,1.7
451,Yenagoa,76,NG,98,4.92,73.83,4.94
452,Taoudenni,0,ML,10,22.68,90.12,7.74
453,Inongo,36,CD,71,-1.93,77.61,2.37
454,Jiwani,36,PK,96,25.05,83.01,5.5
455,Pangnirtung,90,CA,76,66.15,51.8,6.93
456,Moron,48,VE,88,10.49,74.46,3.15
457,Salalah,90,OM,88,17.01,78.8,5.82
458,Biak,92,ID,100,-0.91,73.11,4.38
459,Lahad Datu,80,MY,98,5.02,76.35,3.83
460,Yaan,80,NG,93,7.38,73.65,8.75
461,Tezu,68,IN,86,27.93,70.77,1.59
462,Cockburn Town,0,TC,97,21.46,82.65,21.05
463,Beaverlodge,75,CA,36,55.21,77.0,11.41
464,Mutis,88,CO,100,6.23,77.88,9.86
465,Kuching,75,MY,94,1.56,77.0,6.96
466,Ahipara,80,NZ,100,-35.17,55.74,13.22
467,Nioro,48,GM,55,13.79,88.86,15.46
468,Kahului,90,US,78,20.89,83.16,9.17
469,Male,36,UA,89,50.74,65.55,4.38
470,Mansoa,20,GW,78,12.07,82.4,6.93
471,Praya,90,ID,94,-8.71,71.6,9.75
472,Wenling,92,CN,100,28.38,77.97,4.72
473,Sisimiut,36,GL,67,66.94,59.34,2.15
474,Owerri,64,NG,98,5.49,72.48,3.94
475,Sept-Iles,90,CA,82,50.2,62.6,6.93
476,Sayat,0,TM,22,38.78,89.6,11.41
477,Sao Felix do Xingu,24,BR,64,-6.64,82.11,2.15
478,Egvekinot,44,RU,83,66.32,52.05,2.82
479,Vanimo,76,PG,100,-2.67,82.74,8.97
480,Soyo,0,AO,89,-6.13,70.05,5.95
481,Valle de Angeles,20,HN,61,14.16,81.07,9.17
482,Chodavaram,100,IN,98,17.44,73.38,9.19
483,Zhengjiatun,92,CN,97,43.51,74.55,10.2
484,Iaciara,24,BR,40,-14.1,81.3,5.39
485,Celestun,0,MX,94,20.87,84.9,17.02
486,Westlock,0,CA,74,54.15,74.19,4.5
487,Praia da Vitoria,40,PT,68,38.73,71.6,11.32
488,Qinhuangdao,88,CN,99,39.94,74.1,2.71
489,Northam,20,GB,64,51.04,66.81,3.36
490,Igarka,56,RU,59,67.47,61.41,4.72
491,Yar-Sale,8,RU,78,66.83,55.47,2.59
492,Kieta,92,PG,100,-6.22,74.82,5.84
493,America Dourada,0,BR,48,-11.46,70.95,10.76
494,Constitucion,75,MX,31,23.99,78.8,8.05
495,Mackay,40,CA,38,53.65,73.4,3.38
496,Ola,90,RU,100,59.58,46.4,3.71
497,Quibdo,75,CO,74,5.69,86.0,8.05
498,Marawi,76,PH,100,8.0,67.89,2.37
499,Esil,56,KZ,68,51.96,67.08,11.32
500,Nome,40,US,49,30.04,92.75,6.93
501,Evensk,92,RU,100,61.92,49.26,4.72
502,Ostrovnoy,56,RU,55,68.05,68.43,5.95
503,Coquimbo,0,CL,77,-29.95,59.0,10.29
504,Ornskoldsvik,24,SE,40,63.29,71.6,6.93
505,Martapura,0,ID,94,-3.41,73.4,2.24
506,Vermillion,75,US,78,42.78,82.15,24.16
507,Wanaka,80,NZ,84,-44.7,25.95,2.04
508,Kysyl-Syr,88,RU,52,63.9,55.83,7.85
509,Lazaro Cardenas,75,MX,27,28.39,91.4,4.72
510,Ruwi,24,OM,72,23.6,89.22,4.16
511,Norden,0,DE,72,53.59,63.46,8.05
512,Odesa,75,LT,93,54.5,66.2,6.93
513,Hambantota,20,LK,100,6.12,78.69,16.02
514,Clinton,40,US,70,41.84,82.99,5.82
515,Los Llanos de Aridane,0,ES,68,28.66,71.6,16.11
516,Barcelona,20,ES,88,41.38,78.8,10.29
517,Cayenne,20,GF,70,4.94,84.2,11.41
518,Khandbari,48,NP,64,27.38,45.93,1.92
519,Lithgow,0,AU,92,-33.48,26.6,4.83
520,Beira,75,ES,93,43.2,63.45,1.12
521,Sitka,44,US,77,37.17,84.18,9.98
522,Katima Mulilo,8,NA,39,-17.5,62.22,8.75
523,Le Port,0,FR,49,42.87,58.71,0.58
524,Iberia,0,PE,44,-11.41,88.86,3.04
525,Bratsk,32,RU,81,56.15,50.0,8.95
526,Olenino,64,RU,77,56.21,68.7,8.86
527,Karpogory,92,RU,98,64.0,62.22,1.92
528,La Joya,20,MX,48,19.61,76.62,2.93
529,Gallup,1,US,53,35.53,79.48,9.17
530,Burnie,88,AU,100,-41.05,53.49,21.05
531,San Policarpo,92,PH,100,12.18,77.43,17.25
532,Jaszkarajeno,0,HU,60,47.05,68.86,4.7
533,Zenzeli,88,RU,66,45.92,76.71,3.94
534,Ibra,0,OM,40,22.69,88.5,5.17
535,Marienburg,0,DE,63,52.12,66.6,1.12
536,Barra do Corda,0,BR,47,-5.5,84.18,5.95
537,Polunochnoye,8,RU,84,60.87,58.98,3.49
538,Kulhudhuffushi,88,MV,100,6.62,79.5,18.14
539,Loa Janan,92,ID,83,-0.58,77.79,3.15
540,Ucluelet,5,CA,72,48.94,68.0,5.82
541,Snezhnogorsk,40,RU,87,69.19,59.0,2.24
542,Ponte de Sor,68,PT,74,39.25,67.98,8.52
543,Sinyavino,0,RU,64,59.91,68.0,2.26
544,Alyangula,8,AU,100,-13.85,71.85,9.53
545,Inhambane,88,MZ,93,-23.87,67.53,21.27
546,Chuguyevka,64,RU,98,44.17,68.43,2.82
